experiment,n,mean_aupr,std_aupr,mean_auroc,std_auroc,delta_aupr_vs_baseline,welch_p_vs_baseline,paired_p_vs_matching_baseline_seeds
baseline_all,5,0.80192,0.004996198554901496,0.91594,0.0018420097719610458,0.0,,
P0_focal_loss,3,0.7607666666666667,0.004455707949735207,0.8904666666666667,0.002914332399252622,-0.041153333333333264,9.037243212304151e-05,0.013428336699692726
P9_dropedge,3,0.8064,0.006067124524847029,0.9158333333333334,0.0015307950004272975,0.0044800000000000395,0.3468578087218887,0.3320853935684187
P7_heterophily,3,0.8240333333333334,0.004355838993045218,0.9194333333333334,0.0009865765724632683,0.02211333333333343,0.0013384765218298952,0.029533419685615837
P2_graphmae,3,0.8001666666666667,0.007523518680333923,0.9155333333333333,0.0029938826518975765,-0.0017533333333332735,0.742765988510615,0.933370120744332
P4_cross_net_attn,3,0.8141666666666666,0.0052557904575176164,0.9176333333333334,0.0027574142476844495,0.012246666666666628,0.0297746177313661,0.1024918793569236
